id,time,x,y,z
3573977787,54,364,998,170
3573977787,55,364,978,170
3573977787,56,364,958,170
3573977787,57,364,938,170
3573977787,58,364,918,170
3573977787,59,364,898,170
3573977787,60,364,878,170
3573977787,61,344,878,170
3573977787,62,324,878,170
3573977787,63,304,878,170
3573977787,64,284,878,170
3573977787,65,264,878,170
3573977788,0,222,26,210
3573977788,1,242,26,210
3573977788,2,262,26,210
3573977788,3,282,26,210
3573977788,4,302,26,210
3573977788,5,322,26,210
3573977788,6,342,26,210
3573977788,7,362,26,210
3573977788,8,382,26,210
3573977788,9,402,26,210
3573977788,10,422,26,210
3573977788,11,442,26,210
3573977788,12,462,26,210
3573977788,13,462,46,210
3573977788,14,462,66,210
3573977788,15,462,86,210
3573977788,16,462,106,210
3573977788,17,462,126,210
3573977788,18,462,146,210
3573977788,19,462,166,210
3573977788,20,462,186,210
3573977788,21,462,206,210
3573977788,22,462,226,210
3573977788,23,462,246,210
3573977788,24,462,266,210
3573977788,25,482,266,210
3573977788,26,502,266,210
3573977788,27,522,266,210
3573977788,28,542,266,210
3573977788,29,562,266,210
3573977788,30,582,266,210
3573977788,31,582,286,210
3573977788,32,582,306,210
3573977788,33,582,326,210
3573977788,34,582,346,210
3573977788,35,582,366,210
3573977788,36,582,386,210
3573977788,37,602,386,210
3573977788,38,622,386,210
3573977788,39,642,386,210
3573977788,40,662,386,210
3573977788,41,682,386,210
3573977788,42,702,386,210
3573977788,43,722,386,210
3573977788,44,742,386,210
3573977788,45,762,386,210
3573977788,46,782,386,210
3573977788,47,802,386,210
3573977788,48,822,386,210
3573977788,49,842,386,210
3573977788,50,862,386,210
3573977788,51,882,386,210
3573977788,52,902,386,210
3573977788,53,922,386,210
3573977788,54,942,386,210
3573977788,55,942,366,210
3573977788,56,942,346,210
3573977788,57,942,326,210
3573977788,58,942,306,210
3573977788,59,942,286,210
3573977788,60,942,266,210
3573977788,61,942,246,210
3573977788,62,942,226,210
3573977788,63,942,206,210
3573977788,64,942,186,210
3573977788,65,942,166,210
3573977788,66,942,146,210
3573977788,67,922,146,210
3573977788,68,902,146,210
3573977788,69,882,146,210
3573977788,70,862,146,210
3573977788,71,842,146,210
3573977788,72,822,146,210
3573977788,73,822,166,210
3573977788,74,822,186,210
3573977788,75,822,206,210
3573977788,76,822,226,210
3573977788,77,822,246,210
3573977788,78,822,266,210
3573977788,79,822,286,210
3573977788,80,822,306,210
3573977788,81,822,326,210
3573977788,82,822,346,210
3573977788,83,822,366,210
3573987792,0,460,198,260
3573987792,1,480,198,260
3573987792,2,500,198,260
3573987792,3,520,198,260
3573987792,4,540,198,260
3573987792,5,560,198,260
3573987792,6,580,198,260
3573987792,7,600,198,260
3573987792,8,620,198,260
3573987792,9,640,198,260
3573987792,10,660,198,260
3573987792,11,680,198,260
3573987792,12,700,198,260
3573987792,13,700,178,260
3573987792,14,700,158,260
3573987792,15,700,138,260
3573987792,16,700,118,260
3573987792,17,700,98,260
3573987792,18,700,78,260
3573987792,19,700,58,260
3573987792,20,700,38,260
3573987792,21,700,18,260
3573987792,22,700,-2,260
3573987792,23,700,-22,260
3573987792,24,700,-42,260
3573987792,25,700,-62,260
3573987792,26,700,-82,260
3573987792,27,700,-102,260
3573987792,28,700,-122,260
3573987792,29,700,-142,260
3573987792,30,700,-162,260
3573987792,31,700,-182,260
3573987792,32,700,-202,260
3573987792,33,700,-222,260
3573987792,34,700,-242,260
3573987792,35,700,-262,260
3573987792,36,700,-282,260
3573987792,37,720,-282,260
3573987792,38,740,-282,260
3573987792,39,760,-282,260
3573987792,40,780,-282,260
3573987792,41,800,-282,260
3573987792,42,820,-282,260
3573987792,43,840,-282,260
3573987792,44,860,-282,260
3573987792,45,880,-282,260
3573987792,46,900,-282,260
3573987792,47,920,-282,260
3573987792,48,940,-282,260
3573987792,49,960,-282,260
3573987792,50,980,-282,260
3573987792,51,1000,-282,260
3573987792,52,1020,-282,260
3573987792,53,1040,-282,260
3573987792,54,1060,-282,260
3573987792,55,1060,-302,260
3573987792,56,1060,-322,260
3573987792,57,1060,-342,260
3573987792,58,1060,-362,260
3573987792,59,1060,-382,260
3573987792,60,1060,-402,260
3573987792,61,1040,-402,260
3573987792,62,1020,-402,260
3573987792,63,1000,-402,260
3573987792,64,980,-402,260
3573987792,65,960,-402,260
3573987792,66,940,-402,260
3573987792,67,940,-422,260
3573987792,68,940,-442,260
3573987792,69,940,-462,260
3573987792,70,940,-482,260
3573987792,71,940,-502,260
3573987792,72,940,-522,260
3573987792,73,920,-522,260
3573987792,74,900,-522,260
3573987792,75,880,-522,260
3573987792,76,860,-522,260
3573987792,77,840,-522,260
3573987792,78,820,-522,260
3573987792,79,800,-522,260
3573987792,80,780,-522,260
3573987792,81,760,-522,260
3573987792,82,740,-522,260
3573987792,83,720,-522,260
3573987793,0,161,482,160
3573987793,1,181,482,160
3573987793,2,201,482,160
3573987793,3,221,482,160
3573987793,4,241,482,160
3573987793,5,261,482,160
3573987793,6,281,482,160
3573987793,7,281,502,160
3573987793,8,281,522,160
3573987793,9,281,542,160
3573987793,10,281,562,160
3573987793,11,281,582,160
3573987793,12,281,602,160
3573987793,13,261,602,160
3573987793,14,241,602,160
3573987793,15,221,602,160
3573987793,16,201,602,160
3573987793,17,181,602,160
3573987793,18,161,602,160
3573987793,19,141,602,160
3573987793,20,121,602,160
3573987793,21,101,602,160
3573987793,22,81,602,160
3573987793,23,61,602,160
3573987793,24,41,602,160
3573987793,25,61,602,160
3573987793,26,81,602,160
3573987793,27,101,602,160
3573987793,28,121,602,160
3573987793,29,141,602,160
3573987793,30,161,602,160
3573987793,31,161,622,160
3573987793,32,161,642,160
3573987793,33,161,662,160
3573987793,34,161,682,160
3573987793,35,161,702,160
3573987793,36,161,722,160
3573987793,37,141,722,160
