index,x_pos,y_pos,z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc
3.6699999999999657,394.8132629394531,-5.816895484924316,-269.1054382324219,0.040444497019052505,0.05904786288738251,-0.027975883334875107,0.9970431327819824,-11.026450157165527,0.6158161163330078,-0.7876397967338562,0.10093867033720016,0.054717469960451126,0.009400906972587109,-0.3048950433731079,0.4938023090362549,0.7451381683349609,-0.11114300787448883,-0.07092606276273727,-0.15768176317214966
3.6799999999999655,393.5543518066406,-5.743706703186035,-269.1905212402344,0.0400509387254715,0.056394852697849274,-0.022366680204868317,0.9973542094230652,-11.05859375,0.6662633419036865,-0.7068420052528381,0.0925099328160286,0.046485938131809235,-0.0020691961981356144,-0.2586219906806946,0.3916369080543518,0.6884346008300781,0.08029491454362869,-0.08714569360017776,-0.04303506016731262
3.6899999999999653,392.1257019042969,-5.654786586761475,-269.27642822265625,0.03995975852012634,0.05389459431171417,-0.01655888371169567,0.9976093769073486,-11.089704513549805,0.7100284695625305,-0.6275985836982727,0.0845741257071495,0.03865259513258934,-0.0011193649843335152,-0.2201303243637085,0.2865983247756958,0.5858840942382812,-0.03876833617687225,-0.05869073048233986,0.05508273094892502
3.699999999999965,390.7267150878906,-5.563292980194092,-269.3512268066406,0.03951086103916168,0.051861848682165146,-0.01150242704898119,0.9978061318397522,-11.115636825561523,0.7402389645576477,-0.5614787936210632,0.07385221123695374,0.032457273453474045,0.00899848435074091,-0.18938761949539185,0.19362953305244446,0.49445152282714844,-0.04545491561293602,-0.050352543592453,0.10074475407600403
3.709999999999965,389.2243957519531,-5.461872100830078,-269.42279052734375,0.038205835968256,0.050056640058755875,-0.006740550976246595,0.9979925751686096,-11.139260292053223,0.7602787613868713,-0.5002012848854065,0.06623168289661407,0.026602191850543022,0.02313433215022087,-0.16222625970840454,0.10518451035022736,0.4085578918457031,-0.1899394392967224,-0.031246375292539597,0.09991326183080673
3.7199999999999647,387.7861022949219,-5.363132953643799,-269.4839782714844,0.03613997995853424,0.04863470792770386,-0.002796444110572338,0.9981586933135986,-11.158526420593262,0.7689501047134399,-0.4498072862625122,0.057609159499406815,0.02203628048300743,0.03452247008681297,-0.1402379870414734,0.031359635293483734,0.343048095703125,-0.18247167766094208,-0.02475806325674057,0.06758633255958557
3.7299999999999645,386.31268310546875,-5.261585235595703,-269.5328063964844,0.03344402834773064,0.04796528443694115,0.0006797151872888207,0.9982887506484985,-11.156779289245605,0.7678914666175842,-0.20783895254135132,0.051268622279167175,0.009096208959817886,0.04123470187187195,0.01720297336578369,-0.03652013838291168,1.8301315307617188,-0.029158899560570717,-0.051286328583955765,0.03345336392521858
3.7399999999999642,385.2078857421875,-5.1858015060424805,-269.54815673828125,0.03124013915657997,0.047600556164979935,0.0029662949964404106,0.9983734488487244,-11.16433048248291,0.7623980641365051,-0.12639982998371124,0.046236131340265274,0.011150180362164974,0.04285164177417755,-0.12271404266357422,-0.07593739777803421,0.2943916320800781,-0.20724666118621826,0.0434388741850853,-0.0008181044831871986
3.749999999999964,383.8335876464844,-5.092724800109863,-269.5623779296875,0.028503859415650368,0.046899423003196716,0.0054555898532271385,0.9984779953956604,-11.180353164672852,0.7500174641609192,-0.1091846451163292,0.03913417086005211,0.013753633014857769,0.04169922322034836,-0.12923526763916016,-0.12409738451242447,0.06865215301513672,-0.08662901073694229,0.006184319965541363,-0.021990114822983742
3.759999999999964,382.4911193847656,-5.0037150382995605,-269.5749816894531,0.025988858193159103,0.04614487290382385,0.007522972766309977,0.9985682964324951,-11.195067405700684,0.7326799631118774,-0.10284271091222763,0.03427290916442871,0.013667252846062183,0.03855109214782715,-0.11531269550323486,-0.16370198130607605,0.04367637634277344,0.07764313369989395,-0.006370297633111477,-0.0280922781676054
3.7699999999999636,381.1804504394531,-4.919189453125,-269.5868835449219,0.023751435801386833,0.045438818633556366,0.009247073903679848,0.9986419081687927,-11.207694053649902,0.7115402817726135,-0.0981704592704773,0.02884833887219429,0.012567573226988316,0.03499005734920502,-0.10069501399993896,-0.19658246636390686,0.03645133972167969,-0.06102316454052925,-0.011723087169229984,-0.028343399986624718
