,x,y,z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc,UAS id,UAS Relative time,UAS relative time,"z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc"
81.0,591.7550048828125,416.134521484375,-270.72998046875,-0.8778733015060425,-0.1981568783521652,-0.3032498359680176,-0.313228040933609,7.112449169158936,0.8558292388916016,-1.0476163625717163,-0.3415359556674957,0.8904606699943542,2.0214769840240483,-10.544509887695312,2.4657254219055176,-1.7985286712646484,-4.436790466308594,2.8397901058197017,1.6607978343963623,6,81.0,,
82.0,593.94677734375,416.7840576171875,-272.52334594726557,-0.027669442817568782,-0.3383239507675171,-0.08473040908575058,-0.9367988705635072,-2.278169870376587,0.6323630809783936,-2.586960792541504,0.3838375210762024,0.7098284959793091,2.4124388694763184,-7.3690738677978525,-1.6035597324371338,1.1107168197631836,-10.202485084533693,-0.343420147895813,-2.55711030960083,6,82.0,,
83.0,589.7329711914062,417.0704040527344,-273.39703369140625,0.029199251905083656,-0.27910205721855164,-0.07549780607223511,-0.9568435549736024,-6.0334978103637695,0.07049022614955902,1.3116430044174194,0.2478940188884735,-0.013187037780880928,-0.4003375768661499,-2.7084970474243164,-0.8707712888717651,5.153246879577637,-0.5308976173400879,-0.34687453508377075,4.607611656188965,6,83.0,,
84.0,583.1688232421875,416.5693054199219,-270.06561279296875,0.3578848242759705,0.06405626982450485,-0.1861456036567688,-0.9127787947654724,-7.580538272857666,-1.722159743309021,4.47825288772583,1.156259298324585,2.52308988571167,1.253725290298462,4.102348804473877,-4.547782897949219,-4.922662734985352,-7.535896301269531,0.0014950853073969483,3.348903179168701,6,84.0,,
85.0,580.1570434570312,414.93658447265625,-267.8319702148437,0.9379030466079712,0.08792757987976074,-0.3250323832035065,-0.08343032747507095,1.6555800437927246,-1.1206594705581665,0.7059800028800964,0.11319626867771147,0.3971187174320221,2.4596576690673833,9.905972480773926,1.7569355964660645,-2.469646453857422,1.5717706680297852,2.1822986602783203,0.15250396728515625,6,85.0,,
86.0,584.4891357421875,414.5787353515625,-266.9120483398437,0.9834509491920472,0.05405198782682419,-0.15131866931915286,0.08369765430688858,6.737854957580566,0.4808882474899292,0.3251881599426269,0.019764862954616547,0.4170805215835571,-0.6021201014518738,3.3523137569427486,1.602745532989502,-2.0686016082763667,-0.1278226375579834,0.13069204986095428,3.0226171016693115,6,86.0,,
87.0,592.8017578125,415.32110595703125,-267.93637084960943,0.9919642806053162,-0.01924872025847435,-0.12453822046518324,0.011253481730818748,10.18315315246582,0.6865456104278564,-1.8875521421432493,-0.0064295558258891106,0.2151021659374237,0.022324126213788983,1.5000168085098269,-0.308811753988266,1.6916952133178709,0.09365617483854294,-0.14523757994174954,0.00041458182386122644,6,87.0,,
88.0,603.3792724609375,415.8399658203125,-269.15155029296875,0.9979264140129088,-0.01667636819183826,-0.062065646052360535,0.0035563264973461632,11.009210586547852,0.3622280359268189,-0.7548924088478088,0.01107713021337986,0.06050123274326325,-0.02027800492942333,0.39795827865600586,-0.30855414271354675,0.6362829208374023,0.0833745151758194,-0.06556510925292969,0.045782919973135,6,88.0,,
89.0,613.9283447265625,416.0626525878906,-269.56515502929693,0.9988135695457458,-0.0103923873975873,-0.04755406454205513,-0.0014559186529368162,11.195003509521484,0.12676551938056946,-0.10429304093122482,0.01426148135215044,0.017386101186275482,-0.008334927260875702,0.13984805345535278,-0.2020731121301651,0.06719398498535156,0.0011367836268618705,-0.003521756734699011,0.005829745903611183,6,89.0,,
90.0,624.0758666992188,416.1116943359375,-269.64096069335943,0.9990806579589844,-0.004475273657590151,-0.04253099113702774,-0.002991841873154044,11.263976097106935,-0.00027475875685922796,-0.07038360834121704,0.01073757465928793,0.005382073577493429,-0.00021922825544606892,0.03361320495605469,-0.08556047081947328,0.019788742065429688,-0.010152927599847315,-0.008667935617268084,0.004120436497032642,6,90.0,,
